romaji_title,english_title,native_title,description,genres,episodes,start_date,end_date,average_score,popularity,image_url
Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,"Enter a world in the distant future, where Bounty Hunters roam the solar system. Spike and Jet, bounty hunting partners, set out on journeys in an ever struggling effort to win bounty rewards to survive.<br><br>
While traveling, they meet up with other very interesting people. Could Faye, the beautiful and ridiculously poor gambler, Edward, the computer genius, and Ein, the engineered dog be a good addition to the group?","Action, Adventure, Drama, Sci-Fi",26.0,1998-4-3,1999-4-24,86.0,391784,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1-GCsPm7waJ4kS.png
TRIGUN,Trigun,TRIGUN,"Vash the Stampede is a wanted man with a habit of turning entire towns into rubble. The price on his head is a fortune, and his path of destruction reaches across the arid wastelands of a desert planet. Unfortunately, most encounters with the spiky-haired gunslinger don't end well for the bounty hunters who catch up with him; someone almost always gets hurt - and it's never Vash.<br>
<br>
Oddly enough, for such an infamous fugitive, there's no proof that he's ever taken a life. In fact, he's a pacifist with a doughnut obsession who's more doofus than desperado. There's a whole lot more to him than his reputation lets on - Vash the Stampede definitely ain't your typical outlaw.<br>
<br>
(Source: Funimation)","Action, Adventure, Comedy, Drama, Sci-Fi",26.0,1998-4-1,1998-9-30,80.0,141262,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6-wd4saT1JzStH.jpg
Witch Hunter ROBIN,Witch Hunter ROBIN,Witch Hunter ROBIN,"Robin Sena is a powerful craft user drafted into the STNJ - a group of specialized hunters that fight deadly beings known as Witches. Though her fire power is great, she’s got a lot to learn about her powers and working with her cool and aloof partner, Amon. But the truth about the Witches and herself will leave Robin on an entirely new path that she never expected!<br>
<br>
(Source: Funimation)","Action, Drama, Mystery, Supernatural",26.0,2002-7-2,2002-12-24,68.0,19413,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx7-6uh1fPvbgS9t.png
Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ","Adventure, Fantasy, Supernatural",52.0,2004-9-30,2005-9-29,65.0,2714,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b8-ReS3TwSgrDDi.jpg
Eyeshield 21,Eyeshield 21,アイシールド21,"Welcome To the Gridiron of the Damned!   Huge hulking bodies throw themselves at each other, while a tiny lithe body runs between them for the goal!  No, it&rsquo;s not a game of football, it&rsquo;s Sena Kobayakawa trying to evade the monstrous Ha-Ha brothers down the halls of Deimon High School!  But wait!  Sena&rsquo;s incredible skills at not getting caught have been spotted by the devilish (possibly actually demonic) captain of the school&rsquo;s embryonic American style football team, and when Sena asks to be the teams manager, he gets  thrust onto the field as a running back instead!  But there are two BIG catches: first, to keep the identity of their new &ldquo;star&rdquo; player an absolute secret, Yoichi makes Sena wear an opaque visor on his helmet and gives him the alias of &ldquo;Eyeshield 21.&rdquo;  And the second catch?  Well, in order to hit his fastest &ldquo;speed of light&rdquo; running mode, Sena usually has to be absolutely terrified. Not that THAT will be a problem with the monstrous players that he&rsquo;ll soon find himself running from!  The insanity hits the streets when the feet meet the cleats in EYESHIELD 21! <br><br>
(Source: Sentai Filmworks)","Action, Comedy, Sports",145.0,2005-4-6,2008-3-19,76.0,29797,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx15-A4F2t0TgWoi4.png
Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,"Takemoto Yuuta, Mayama Takumi, and Morita Shinobu are college students who share the small apartment. Even though they live in poverty, the three of them are able to obtain pleasure through small things in life. The story follows these characters' life stories as poor college students, as well as their love lives when a short but talented 18 year old girl called Hanamoto Hagumi appears.
<br><br>
(Source: Anime News Network)","Comedy, Drama, Romance, Slice of Life",24.0,2005-4-15,2005-9-27,76.0,51717,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx16-S9k8qahNXoYP.jpg
Hungry Heart: Wild Striker,Hungry Heart: Wild Striker,ハングリーハート Wild Striker,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becomming professional soccer players themselves.
<br><br>
(Source: Anime News Network)","Comedy, Slice of Life, Sports",52.0,2002-9-11,2003-9-10,71.0,4280,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx17-6kqIbdUk3dgi.png
Initial D FOURTH STAGE,Initial D 4th Stage,頭文字〈イニシャル〉D FOURTH STAGE,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.","Action, Drama, Sports",24.0,2004-4-17,2006-2-18,80.0,41514,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b18-r7IirVmwP89u.jpg
MONSTER,Monster,MONSTER,"Dr. Kenzo Tenma is a renowned Japanese brain surgeon working at a leading hospital in Germany. One night, Dr. Tenma risks his reputation and career to save the life of a critically wounded young boy over that of the town mayor who had been planning to support the hospital financially. A string of mysterious murders begin to occur soon after the operation, and Dr. Tenma emerges as the primary suspect despite no incriminating evidence. 
<br><br>
A doctor is taught to believe that all life is equal; however, when another series of murders occur in the surgeon's vicinity, Dr. Tenma's beliefs are shaken as his actions that night are shown to have much broader consequences than he could have imagined. Leaving behind his life as a surgeon he embarks on a journey across the country to unravel the mystery of the boy he saved.","Drama, Horror, Mystery, Psychological, Thriller",74.0,2004-4-7,2005-9-28,88.0,266789,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx19-gtMC64182sm4.jpg
NARUTO,Naruto,NARUTO -ナルト-,"Naruto Uzumaki, a hyperactive and knuckle-headed ninja, lives in Konohagakure, the Hidden Leaf village. Moments prior to his birth, a huge demon known as the Kyuubi, the Nine-tailed Fox, attacked Konohagakure and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the 4th Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. <br><br>
Shunned because of the presence of the Kyuubi inside him, Naruto struggles to find his place in the village. He strives to become the Hokage of Konohagakure, and he meets many friends and foes along the way. <br><br>
(Source: MAL Rewrite)","Action, Adventure, Comedy, Drama, Fantasy, Supernatural",220.0,2002-10-3,2007-2-8,79.0,599792,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20-dE6UHbFFg1A5.jpg
ONE PIECE,ONE PIECE,ONE PIECE,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.<br><br>
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.<br><br>
<b>*This includes following special episodes:</b><br>
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)<br>
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)<br>
- Team Formation! Save Chopper (Episode 542)<br>
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)<br>
- 20th Anniversary! Special Romance Dawn (Episode 907)","Action, Adventure, Comedy, Drama, Fantasy",,1999-10-20,,88.0,600202,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21-ELSYx3yMPcKM.jpg
Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,"Echizen Ryoma is a young tennis prodigy who has won 4 consecutive tennis championships but who constantly lies in the shadow of his father, a former pro tennis player. He joins the Seishun Gakuen junior highschool, one of the best tennis schools in Japan, and there along with his teamates he learns to find his own type of tennis in an attempt to defeat his biggest obstacle of all: his father as well as himself.
<br><br>
(Source: Anime News Network)","Action, Comedy, Sports",178.0,2001-10-10,2005-3-23,75.0,31484,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx22-yEguU9EmxkjK.png
Ring ni Kakero 1,Ring ni Kakero 1,リングにかけろ１,"In order to fulfill their dead father's wish, the siblings, Kiku Takane and Ryuuji Takane aim for the champion title of the boxing arena. The sister, Kiku, will act as the trainer while her brother, Ryuuji, will concentrate on the role of the boxer and learn the Boomerang Hook technique. His battle with many rivals has led to the growth and maturity of Ryuuji. The junior high boxing tournament has began and Ryuuji will be fighting his arch-rival, Jun Kenzaki. The battle begins.
<br><br>
(Source: Anime News Network)","Action, Sports",12.0,2004-10-6,2004-12-15,60.0,1466,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx23-OwtP69d9B9kg.jpg
School Rumble,School Rumble,スクールランブル,"Tsukamoto Tenma is an ordinary 2nd year high school student who has fallen in love with one of her classmates, Karasuma Ooji. However, currently she is unable to confess her feelings to him. To make things worse, she found out that Karasuma is transferring to another school in a year. On the other hand, Tenma's other classmate, Harima Kenji (who is a delinquent) is also in love with Tenma. Not being able to confess his feelings, Harima gets depressed day by day.<br><br>
(Source: Anime News Network)","Comedy, Romance, Slice of Life",26.0,2004-10-5,2005-3-29,76.0,52155,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx24-FY8Y08LrROKE.png
Sunabouzu,Desert Punk,砂ぼうず,"The Great Kanto Desert is a miserable place. It’s also the home of hero-for-hire Desert Punk, the closest thing to a good guy the wasteland’s got. He’s known as the best man for any job, but his reputation is undone by his raging hormones when curvy Junko uses her double-D charms to double-cross him. With debt hanging over his head, Desert Punk sets out to salvage his name. <br><br>
(Source: Crunchyroll)","Action, Adventure, Comedy, Ecchi, Sci-Fi",24.0,2004-10-6,2005-3-30,68.0,25148,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx25-H1etX7IgfFtQ.jpg
TEXHNOLYZE,Texhnolyze,TEXHNOLYZE,"In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to satisfy an enraged fight promoter. On the brink of death he is taken in by a young woman doctor and used as a guinea pig for the next evolution of Texhnolyze. With his new limbs, Ichise is taken under the wing of Oonishi, a powerful leader of Organ, an organization with some hold on Lux. As Ichise is drawn deeper into a war for territorial control of the city, he learns of his possible future from the young girl prophet Ran, who guides him from the shadows in his darkest times. With the explosion of the warfare, Ichise must uncover the truth about Lux and fight for his survival as he realizes his destiny.
<br><br>
(Source: Anime News Network)","Action, Drama, Psychological, Sci-Fi",22.0,2003-4-17,2003-9-25,77.0,68718,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx26-ADSztyHBNO39.jpg
Trinity Blood,Trinity Blood,トリニティ・ブラッド,"The background is in the distant future after the destruction brought about by Armageddon. The war between the vampires and the humans continue to persist. In order to protect the humans from the vampires, the Vatican has to rely on other allies to counter the situation. The protagonist,  Abel Nightroad, is a traveling priest from the Vatican and a crusnik, a vampire that drinks the blood of vampires. He is a member of the ""Ax"", a special operations group led by Cardinal Catherina Sforza. He encounters a young girl called Esther, who decides to go with him to Rome and train at the Vatican. Soon after he meets her, the order of Rozencreuz, led by Abel's twin, Cain, tries to continue the war so they can rule the world. It's up to Abel and the AX to try and stop them.","Action, Drama, Horror, Sci-Fi, Supernatural",24.0,2005-4-29,2005-10-28,67.0,24205,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx27-MOAaiBHHLfOY.png
Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,"Kazuma Azuma wants to make bread. Not just any kind of bread, though. He wants to make a bread that represents Japan itself and can stand toe-to-toe with rice as a national food. Thanks to his legendary ""Hands of the Sun,"" unnaturally warm hands that allow dough to ferment faster, Kazuma's bread is like a slice of Heaven.<br>
<br>
And when the Pantasia Rookie Competition arrives, everyone will get a taste of his skill! Along with his friend Kawachi (who's only in it for the dough), he’ll go up against koala karate masters, Harvard bread scientists, samurai with rolling-pin swords, and more! Can Kazuma create bread like naan other and bake his way to glory, or should he quit before he's toast?<br>
<br>
(Source: Right Stuf)",Comedy,69.0,2004-10-12,2006-3-14,75.0,17688,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx28-QuKcZpUjTXzV.png
Zipang,Zipang,ジパング,"Mirai, an improved Kongou-class Aegis guided missile destroyer, is one of the newest and most advanced ships in the entire Japanese Self Defense Force (SDF). Her crew, also one of the newest, is lead by Capt. Umezu Saburo and Executive Officer Kadomatsu Yosuke. While running scheduled training exercises one day, Mirai encounters a fierce storm that throws their navigation systems into temporary disarray. After a few minutes of recovery, the crew is shocked to discover that they've been transported back in time to June 4, 1942&mdash;The Battle of Midway, during World War II. Letting history take its course for this battle, they manage to avoid the conflict firsthand and make a vow to remain annonymous, changing history as little as possible. However, when the crew comes across the dying Lt. Commander Kusaka Takumi, XO. Kadomatsu's instincts to save lives takes over, changing the course of history more than he could've imagined.
<br><br>
(Source: Anime News Network)","Action, Sci-Fi",26.0,2004-10-7,2005-3-31,72.0,5652,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx29-0PsnJVadMG7k.jpg
Shin Seiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,"In the year 2015, the Angels, huge, tremendously powerful, alien war machines, appear in Tokyo for the second time. The only hope for Mankind's survival lies in the Evangelion, a humanoid fighting machine developed by NERV, a special United Nations agency. Capable of withstanding anything the Angels can dish out, the Evangelion's one drawback lies in the limited number of people able to pilot them. Only a handful of teenagers, all born fourteen years ago, nine months after the Angels first appeared, are able to interface with the Evangelion. One such teenager is Shinji Ikari, whose father heads the NERV team that developed and maintains the Evangelion. Thrust into a maelstrom of battle and events that he does not understand, Shinji is forced to plumb the depths of his own inner resources for the courage and strength to not only fight, but to survive, or risk losing everything. <br><br>
(Source: AniDB)<br>
<br>
 <i>Note: Later releases include edited versions of Episodes 21-24 called the ""Director's Cut"" with some visual editing and adding extra scenes that appeared in the theatrical recap 'Death'.</i>","Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",26.0,1995-10-3,1996-3-27,83.0,400245,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx30-AI1zr74Dh4ye.jpg
Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,"Set during a time that very much resembles Europe during the Middle Ages, <i>Berserk</i> is a story of revenge set in the castle town of Midland. Recently, the town has seen the rise of a wicked king, who uses demonic minions to control and victimise his subjects.<br>
<br>
However, when a lone soldier enters the town calling himself the Black Swordsman and armed to the teeth, many sense that the king's days of unchecked oppression are over. Soon, the Black Swordsman is plying his trade by hunting down the king's evil servants, giving no quarter, and preparing to exact his vengeance on the king.<br>
<br>
(Source: MVM Entertainment)","Action, Adventure, Drama, Fantasy, Horror, Supernatural",25.0,1997-10-7,1998-3-31,84.0,141420,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx33-PSwfE5B0gejI.jpg
Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,"Himura Kenshin is a vagabond with a dark past and sunny disposition. Not a ronin but a rurouni, he was never a samurai, but an assassin of utmost skill in the Meiji restoration, who in the turning point of the war simply walked away. His travels lead him to Tokyo in the 11th year of the Meiji era, where he befriends a female Kendo master, a former thief, a brawler and a doctor all with their own secrets. Together they fight off the enemies surfacing from the dark past that Kenshin cannot escape. <br><br>
(Source: Anime News Network)","Action, Adventure, Comedy, Drama, Romance",94.0,1996-1-10,1998-9-8,79.0,78820,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx45-DEFgZRCxiGmF.png
.hack//SIGN,.hack//Sign,.hack//SIGN,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, he is suspected to be a hacker of the Crimson Knights, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.<br><br>
As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a 'guardian', which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.<br><br>
[Written by MAL Rewrite]","Adventure, Fantasy, Mystery, Sci-Fi",26.0,2002-4-4,2002-9-26,66.0,30333,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx48-1Jxw9YoMf8LZ.png
Aa! Megami-sama! (TV),Oh! My Goddess (TV),ああっ女神さまっ (TV),"Keiichi Morisato is looking forward to university life. But in reality, he has no luck in anything, and he has trouble with clubs, love, etc. The truth is that he has an unlucky star above his head. One day, Keiichi is stuck watching the dorm while his sempai are away, and has a mountain of chores to do to boot. But Keiichi is a good-natured person, and is set about doing his duties. As he is about to finish his final chore, he makes a phone call to his sempai. But the words that came through the receiver are, 'Goddess Help Line.' Shortly afterwards, a beautiful goddess named Belldandy appears in front of him from the mirror of his room. ","Comedy, Romance, Supernatural",24.0,2005-1-7,2005-7-8,70.0,22280,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx50-OdzAFLX6X6Hf.png
Kidou Tenshi Angelic Layer,Angelic Layer,機動天使エンジェリックレイヤー,"From the moment twelve-year-old Misaki Suzuhara first arrives in Tokyo to live with her aunt, she finds herself swept away by the amazing world of Angelic Layer – a fast-paced high-tech game where dolls called “Angels” are controlled by the thoughts of their operator, or “Deus”. Discovering that her new friends are as interested in Angelic Layer as she is, Misaki builds her own Angel, Hikaru, and begins competing in battles where will and determination count far more than size and strength. The competitions are going to be fierce and, with the national championships looming on the horizon, you can bet that not everyone Misaki meets will be on her side. Can Misaki handle the pressure of non-stop competition while struggling to adapt to life in an unfamiliar city?<br>
<br>
(Source: Sentai Filmworks)","Comedy, Drama, Sci-Fi, Sports",26.0,2001-4-1,2001-9-23,69.0,9849,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx52-i6aTXaa4w1QA.png
Ai Yori Aoshi,Ai Yori Aoshi,藍より青し,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.","Comedy, Drama, Romance, Slice of Life",24.0,2002-4-11,2002-9-26,67.0,15789,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx53-GPDXGvbhg4w5.png
Arc the Lad,Arc the Lad,アークザラッド,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies.
<br><br>
(Source: Anime News Network)","Action, Adventure, Fantasy, Horror, Sci-Fi",26.0,1999-4-5,1999-9-11,61.0,2660,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx55-uG26UwIxEJkJ.png
Avenger,Avenger,アヴェンジャー,"Mars has been colonized and is a world where children have been replaced by robot servents known as 'dolls'. Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed. <br>","Adventure, Fantasy, Sci-Fi",13.0,2003-10-2,2003-12-25,55.0,3112,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b56-u0q9CHIgtbQG.jpg
BECK,Beck: Mongolian Chop Squad,BECK,"Tanaka Yukio, better known by his nickname Koyuki is a 14 year old who feels disconnected from life in general. Through the act of saving a mismatched dog, he meets guitarist Minami Ryuusuke, and becomes involved in Ryuusuke's new band BECK. Koyuki's life starts to change as the band struggles towards fame. <br>","Comedy, Drama, Music, Slice of Life",26.0,2004-10-6,2005-3-30,80.0,68840,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx57-4wTOlaVSgKoy.png
BLUE GENDER,Blue Gender,BLUE GENDER,"Imagine waking after spending more than two decades in suspended animation. You awaken to a world more terrifying than your worst nightmare. A world where human beings are hunted down by giant insect-like creatures called the Blue. Welcome to Earth in the year 2031...a time when the planet is no longer ours. Earth's very survival now rests in your hands.<br>
<br>
(Source: Funimation)","Adventure, Drama, Horror, Mecha, Psychological, Romance, Sci-Fi",26.0,1999-10-8,2000-3-31,66.0,14175,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b58-2KarB5N1dB0P.jpg
Chobits,Chobits,ちょびっツ,"In the future, personal computers have developed into ""Persocoms"", mobile computers that look like human beings. Hideki Motosuwa, a prep school student, desperately wants to buy a Persocom but cannot afford to. One day he finds a Persocom that has been thrown away and decides to keep it. When he turns on the Persocom, all she can say is ""Chii"" so he decides to name her that. After a while it starts to become apparent that Chii is more than an average Persocom. Having much better performance, it seems that Chii might be a ""Chobit"", a type of advanced Persocom rumored to have independent thought.<br><br>
(Source: Anime News Network)","Comedy, Drama, Ecchi, Romance, Sci-Fi",26.0,2002-4-3,2002-9-25,71.0,76756,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx59-0J95ZHgt4uyP.jpg
Chrno Crusade,Chrono Crusade,クロノクルセイド,"The year is 1928 A.D. The place is New York, U.S.A. The economic prosperity brought forth after the Great War also heightened the presence of something far darker and much more sinister: the demonic Sinners. The Magdalene Order is an organization that tries to counter this force. Two of its exorcists are Rosette Christopher and her assistant, Chrono. Both appear out of place in an organization like this, and they are in a quest to find Rosette's missing brother, Joshua. Their relationships, secrets and fates can only be revealed in time...
<br><br>
(Source: Anime News Network)","Action, Romance, Supernatural",24.0,2003-11-24,2004-6-10,71.0,29407,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx60-nWs0N9upSorj.png
D.N.Angel,D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,"Niwa Daisuke is your average teenager, until his fourteenth birthday. He tries to declare his love to the girl of his dreams, but fails. Suddenly, whenever he thinks about this girl he turns into the legendary phantom thief known as Dark Mousy. Daisuke's mother, very much aware of this, makes him turn into Dark and steal valuable works of art for a purpose unknown to Daisuke. As the story unfolds, he learns why, and about his classmate who seems to have the same ability.
<br><br>
(Source: Anime News Network)","Action, Comedy, Fantasy, Romance",26.0,2003-4-3,2003-9-25,66.0,20399,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/61.jpg
D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,"Every year the flowers bloom. Mysterious Cherry Blossoms blooming all over a crescent shaped island. That island is the island of Hatsune...<br><br>
The main character who goes to Kazami Academy, Asakura Junnichi, has the power to see the dreams of other people in his sleep. He was also taught magic by an old lady that allows him to create sweets.<br><br>
One day, Junnichi seems to have seen someone's dream again while he was sleeping. Inside that dream, a girl who was a childhood friend of his appeared. But, he was woken up by his sister Asakura Nemu, forcing him to come back to his regular life. Nemu doesn't actually have any blood relation to Junnichi but their bond is deeper than other real brothers and sisters. So deep that it gives the illusion that they're lovers.<br><br>
It was another peaceful normal day waking up early in the morning and going to Kazami Academy. Together with childhood friend Amakase Miharu, the academy idol Shirakawa Kotori, the two sisters Mizukoshi Moe and Mako who prefer eating nabe on the school roof for lunch. Going through their day as usual, their childhood friend, Yoshino Sakura, who they thought had moved to America suddenly appears. It was a surprise for Junnichi and Nemu. Sakura tells them, ""I came to finish the promise we made during our childhood""...<br><br>
(Source: AnimeNfo and AniDB) ","Drama, Romance",26.0,2003-7-5,2003-12-27,62.0,12120,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx62-llr25zE9LOm1.png
DearS,DearS,ディアーズ,"Ikuhara Takeya is a high school student living a normal life. He is not interested in the commotion around a UFO filled with beautiful alien females that crashed on earth a year ago. The aliens, known as DearS, are deciding to take permanent residence on earth. What no one knows is that these aliens are a slave species whose sole purpose is to serve and please their masters. One day, Takeya spots a person shivering behind some bushes. This person, Ren, is one of the DearS, and after being saved by Takeya she chooses him as her master. Takeya, who doesn't know about the master-slave relationship of DearS, tries to teach Ren the normal lifestyle of the people on earth, though he constantly fears that Ren is an evil alien who's trying to brainwash him. Ren, however, isn't like other DearS. She is in fact malfunctioning and is being tracked down by their leader. Meanwhile, Takeya begins to learn more about DearS, and a mythical DearS relationship called &ldquo;Gift&rdquo; begins to develop between them.
<br><br>
(Source: Anime News Network)","Comedy, Ecchi, Romance, Sci-Fi",12.0,2004-7-11,2004-9-26,60.0,20923,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx63-2EYTwbAK4CLR.jpg
Rozen Maiden,Rozen Maiden,ローゼンメイデン,"Sakurada Jun spends his days online, ordering whatever he takes a liking to, only to return it before the payment is due. Due to psychological trauma from school, Jun generally keeps contact with people as little as possible. One day he finds instructions online that tell him to put his order into his desk drawer. Rubbing it off as a joke, Jun mindlessly does so only to find that his order instantly disappears from his drawer. A package suddenly appears, containing a beautiful antique doll. When wound up, this doll comes to life. Sadly for Jun, this doll Shinku views Jun as an equivalent for a servant. Despite the constant demands Jun now receives from Shinku, she slowly helps him overcome his fears of human contact as well as protect him from the deadly battles that come into his life due to her appearance.","Action, Comedy, Drama, Supernatural",12.0,2004-10-8,2004-12-24,70.0,33436,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx64-JsxXAcf3ZKo1.png
Rozen Maiden: Träumend,Rozen Maiden: Dreaming,ローゼンメイデン ~ トロイメント,"As summer break arrives for the students, Jun Sakurada is busily studying on his own in the library, making up for time lost while he had confined himself to his home. Meanwhile, his Rozen Maiden doll, Shinku, has been having troubling dreams of late. The pain and sadness of defeating Suigintou was overwhelming, despite the inevitable battle they waged. After waking suddenly from a nightmare, she finds Suigintou's companion spirit wandering; upon giving chase, she discovers that the seventh Doll-- Barasuishou-- has awakened. She now realizes that Suigintou's fate may very well befall the other Dolls, for the appearance of the last Doll signals the beginning of the end of the Alice Games.
<br><br>
(Source: Anime News Network)","Action, Comedy, Drama, Supernatural",12.0,2005-10-21,2006-1-27,72.0,15216,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx65-SnVu0Txb00nV.jpg
